
  2024-12-11 15:28:38 Running ['artisan' app:process-orders-file]  275.67ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:29:30 Running ['artisan' app:process-orders-file]  118.44ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:30:30 Running ['artisan' app:process-orders-file]  121.66ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:31:30 Running ['artisan' app:process-orders-file]  137.02ms FAIL
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:32:30 Running ['artisan' app:process-orders-file]  118.90ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:33:30 Running ['artisan' app:process-orders-file]  116.17ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:34:30 Running ['artisan' app:process-orders-file]  113.95ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:35:30 Running ['artisan' app:process-orders-file]  113.75ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:36:30 Running ['artisan' app:process-orders-file]  131.51ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:37:30 Running ['artisan' app:process-orders-file]  118.89ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:38:30 Running ['artisan' app:process-orders-file]  115.10ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:39:30 Running ['artisan' app:process-orders-file]  122.47ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:40:30 Running ['artisan' app:process-orders-file]  116.44ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:41:30 Running ['artisan' app:process-orders-file]  119.24ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:42:30 Running ['artisan' app:process-orders-file]  135.58ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:43:30 Running ['artisan' app:process-orders-file]  120.49ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:44:30 Running ['artisan' app:process-orders-file]  129.70ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:45:30 Running ['artisan' app:process-orders-file]  115.76ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:46:30 Running ['artisan' app:process-orders-file]  116.23ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:47:32 Running ['artisan' app:process-orders-file]  744.30ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:48:30 Running ['artisan' app:process-orders-file]  136.40ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:49:30 Running ['artisan' app:process-orders-file]  137.97ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:50:30 Running ['artisan' app:process-orders-file]  125.68ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:51:30 Running ['artisan' app:process-orders-file]  122.49ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:52:30 Running ['artisan' app:process-orders-file]  114.77ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:53:30 Running ['artisan' app:process-orders-file]  113.40ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:54:30 Running ['artisan' app:process-orders-file]  112.96ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:55:30 Running ['artisan' app:process-orders-file]  118.89ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:56:31 Running ['artisan' app:process-orders-file]  192.34ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


  2024-12-11 15:57:30 Running ['artisan' app:process-orders-file]  127.84ms DONE
  ⇂ '/opt/homebrew/Cellar/php@8.4/8.4.0_1/bin/php' 'artisan' app:process-orders-file > '/dev/null' 2>&1  


